borrower_id,industry,state,business_type,business_age_years,employee_count,monthly_revenue,revenue_3m_avg,revenue_6m_avg,revenue_growth_3m,revenue_growth_6m,revenue_volatility,monthly_operating_expenses,fixed_expenses,variable_expenses,expense_growth,operating_cash_flow,free_cash_flow,average_bank_balance,minimum_bank_balance,cash_flow_volatility,cash_runway_months,accounts_receivable,receivable_days,receivable_days_change,overdue_receivables_ratio,outstanding_loan_amount,interest_rate,current_emi,remaining_tenure_months,total_existing_debt,number_of_active_loans,delayed_emi_count_3m,delayed_emi_count_6m,missed_emi_count,average_payment_delay_days,maximum_payment_delay_days,gst_monthly_turnover,gst_turnover_growth,gst_vs_bank_credit_difference,dscr,emi_to_revenue,emi_to_free_cash_flow,debt_to_revenue,operating_margin,cash_runway,receivables_to_revenue,expense_to_revenue,revenue_momentum,revenue_deterioration,receivable_stress,repayment_delinquency_score,liquidity_stress,debt_burden,cashflow_volatility_index,default_90d
MSME-000001,Manufacturing,Tamil Nadu,Partnership,4.3,12,1131970.02,1093804.12,1047156.91,0.08099368958144591,0.09878572430704172,0.2540402695245865,833785.95,429084.98,404700.98,0.13202248750897916,298184.06,280108.58,2684710.51,1191640.41,0.17499512913421833,3.2199037422152226,781734.91,20.717905136928334,-7.7222696979408285,0.22811660121377444,6027499.21,12.595041785433988,114514.77,77,8925380.51,2,0,0,0,2.10393567387299,3.87617102281346,1140864.13,0.07515260055982123,0.007857197148203413,2.446047614643945,0.10116413683818234,0.4088227857925666,0.6570683816932419,0.2634204570188175,3.219903753475337,0.6905968322376594,0.7365795341470263,0.08722090173540445,0.0,0.5734150201625801,0.14026237825819934,0.0,1.309978723788698,0.21056544230988405,0
MSME-000002,Logistics,Karnataka,Private Limited,6.4,5,1394881.85,1405445.09,1418355.72,-0.016550057820943403,0.15037101807749906,0.1772259578724942,1093512.66,481102.59,612410.07,0.003937213782022645,301369.19,291455.54,5523747.58,1437883.14,0.31372580237508046,5.0513796473627455,1586702.59,34.12552677184483,-11.079231163383156,0.10153090818557332,3530585.23,10.856441752980855,101416.37,42,4813045.53,1,1,1,0,8.682065658924184,22.935835188167893,1441404.46,-0.04041724359200684,0.033352366996994336,2.8738510360802696,0.07270606467494002,0.347965147617369,0.28754200759010523,0.2160535603786084,5.0513796337758,1.1375175539060889,0.7839464396213914,0.04187231874351146,0.016550057820943403,0.6702896877163205,2.078804377261612,0.0,0.6693071692774553,0.2523008723489166,0
MSME-000003,Auto Components,Tamil Nadu,Private Limited,13.6,5,428175.44,455123.86,488060.8,-0.12270061401096931,-0.09298842881385888,0.2156342680350034,276949.76,130736.46,146213.3,-0.12393118145176896,151225.68,114199.8,985643.29,304971.98,0.3870738021095813,3.558924517463744,627602.85,43.97282853612373,13.646739724032763,0.30698785010527513,2498295.36,10.964846926985167,92907.43,31,4214285.87,3,0,0,0,2.4977407666542506,8.62073645607133,454620.14,-0.12881144965684263,0.06176136493279997,1.2291783337457511,0.2169844912169647,0.8135515999152362,0.8202023197936497,0.3531862546810251,3.558924513962388,1.4657609740530657,0.6468137453189748,-0.11230134919198068,0.16919482841789873,1.4947596498417628,0.16651605111028336,0.02082166625424886,1.9626635478360615,0.30992601177602125,0
MSME-000004,Textile,Tamil Nadu,Private Limited,8.6,10,440500.16,436962.31,432638.26,0.018171997558475116,-0.046887216973644265,0.17973467752308905,312590.05,173061.72,139528.33,0.051382417416647036,127910.11,96853.65,778837.06,246922.76,0.7108836400244135,2.491560617621281,511114.53,34.809149666412424,10.609077095007251,0.285475891952985,1858160.75,11.006268249150995,33165.76,79,2315529.12,1,1,1,1,23.589668963843515,27.550349538586424,448905.87,0.01577164038176759,0.019082188416412328,2.920290383817527,0.07529114177847292,0.3424316997862239,0.43804923930107087,0.29037471859261077,2.49156062389062,1.1603049815010285,0.7096252814073893,-0.004598727527766666,0.023443608486822132,1.2192642895601005,6.0726445975895675,0.21007479284769295,0.8262770937472532,0.47186660689881754,0
MSME-000005,Services,Delhi,Proprietorship,3.7,7,1602327.75,1586730.59,1567667.39,0.02210951169992135,0.017118559182972642,0.34608967755699754,1192793.33,606297.79,586495.54,-0.024557654404770365,409534.42,398746.31,4870650.23,2707038.92,0.4174240391481979,4.083398294156261,2442432.51,45.729081049310366,-23.259717434206944,0.09618247416230566,14228727.92,10.873287568751302,304658.9,61,18146789.6,2,0,0,0,1.8201509182522382,2.537523956364937,1511673.78,0.007341743145493386,0.05657641720375012,1.308828693335399,0.19013519549917302,0.7640419293159102,0.9437722505065937,0.25558717309863727,4.083398278224778,1.5243026964988904,0.7444128269013628,0.020362678318989302,0.0,0.8583338249841451,0.12134339455014921,0.0,1.8191102392545262,0.38532357643215776,0
MSME-000006,Auto Components,Telangana,Partnership,8.2,9,848159.12,792838.06,725223.44,0.16951420103514916,0.07777880985302751,0.09463878397892159,496302.32,229976.72,266325.61,0.05642724865709346,351856.8,334560.55,1094009.41,690982.57,0.08513481460974731,2.2043205652463707,567173.77,20.061345578779274,-9.918660697648317,0.29132416547133316,3943912.76,10.521824707127063,78959.62,66,6156314.33,4,0,0,0,4.835048228760961,7.255559484842829,837928.16,0.1437360112019944,0.012062546484932282,4.237109423778889,0.09309529089305789,0.23600995395302882,0.6048702207749257,0.41484762906281075,2.204320564127123,0.6687115148864992,0.5851523709371893,0.1374068141214066,0.0,0.6256799251176544,0.3223365485840641,0.0,1.6376084480075703,0.08941160082587574,0
MSME-000007,Manufacturing,Tamil Nadu,Private Limited,1.9,3,431984.71,422210.28,410263.76,0.05294386852430075,0.09597018897687265,0.4112938173682195,294819.92,184014.57,110805.35,0.17325819623257316,137164.78,133932.16,670315.79,221634.88,0.30035641404261193,2.2736447891008615,1079479.26,74.96649088880528,,0.039956149834427475,2305450.63,11.225281041039008,70824.4,39,2893992.91,1,1,1,0,7.624696997080358,10.35949258037514,369009.11,0.09513570394958104,0.1457820093404861,1.8910454589096415,0.1639511731792544,0.5288080174321088,0.5582745644708891,0.3175223030463277,2.2736448405521585,2.498883027596046,0.6824776738047047,0.06800308068270092,0.0,1.3222014025241946,2.0083131331386905,0.24823641496137705,1.1681524974190252,0.35027824553913534,1
MSME-000008,Electronics,Telangana,Proprietorship,13.2,16,2670979.0,2809718.19,2979288.32,-0.10348421786758913,-0.12350132776256269,0.12442707784215161,1930537.32,1338092.55,592444.77,-0.13835214437835408,740441.68,703440.05,17805582.31,5124567.01,0.16031976277831686,9.22312258130672,3460414.49,38.86681055907744,1.5443784077970313,0.09284323917929711,7565444.33,10.681716237442126,152072.84,66,12638420.45,2,1,1,0,9.614297395007556,29.422694616112224,2563290.62,-0.14555912309542593,0.04031794344769207,4.62567839201267,0.056935243594202725,0.21618450641245118,0.3943129856755394,0.2772173349172719,9.223122560510769,1.2955603507178455,0.7227826650827281,-0.11049020633082987,0.16523488174887047,0.7921026954238222,2.1409531596671703,0.0,0.9366510946610462,0.1441680545570425,0
MSME-000009,Food Processing,Maharashtra,Proprietorship,10.7,11,948646.38,883623.88,804151.95,0.17968548171417237,0.1490651401119208,0.41459782472564355,639752.68,180978.57,458774.11,0.08184168056883631,308893.7,306085.58,3188070.61,842895.02,0.5310747269765013,4.983286087231879,1594026.49,50.40950555852699,-2.333780874277295,0.042287591440856545,4578076.88,10.695753857927983,92056.16,66,6486884.03,1,0,1,0,0.5480989200693236,26.75759859218075,924674.65,0.19569159455240717,0.025269398687031434,3.3249874858999116,0.09703948904543334,0.3007530116250494,0.5698368544522002,0.32561522028893425,4.983286056730547,1.6803168426152642,0.6743847797110658,0.16896836215338432,0.0,0.8824460174163063,0.5365399280046216,0.0,1.0124355770657836,0.4786601209636153,0
MSME-000010,Textile,Karnataka,LLP,2.2,2,3858338.55,3681706.53,3465822.95,0.1132532176445151,0.05777158914155937,0.170246842017175,2203224.29,1176990.37,1026233.92,-0.02033982116474836,1655114.26,1622891.19,5492091.94,1677511.92,0.21582288782105313,2.492752080102173,5223352.79,40.61348728394616,-22.189167609322094,0.1193076893824252,31093278.48,9.884174290116828,592551.37,69,44399796.92,1,0,0,0,2.9871521601587077,6.107116635664905,4002768.07,0.0817082366461633,0.03743308542193384,2.7388194039615503,0.1535768212978615,0.3651208248902996,0.9589576001998755,0.4289707184974735,2.4927520838107684,1.3537829100041001,0.5710292815025265,0.0938346476684806,0.0,0.7961991441148611,0.19914347734391386,0.23861046393964733,1.5428996534445292,0.19531366720930798,0
